date	Temperature	Humidity	Light	CO2	HumidityRatio
04/02/2015 17:51	23.18	27.272	426	721.25	0.00479298817650529
04/02/2015 17:51	23.15	27.2675	429.5	714	0.00478344094931065
04/02/2015 17:53	23.15	27.245	426	713.5	0.00477946352442199
04/02/2015 17:54	23.15	27.2	426	708.25	0.00477150882608175
04/02/2015 17:55	23.1	27.2	426	704.5	0.00475699293331518
04/02/2015 17:55	23.1	27.2	419	701	0.00475699293331518
04/02/2015 17:57	23.1	27.2	419	701.666666666667	0.00475699293331518
04/02/2015 17:57	23.1	27.2	419	699	0.00475699293331518
04/02/2015 17:58	23.1	27.2	419	689.333333333333	0.00475699293331518
04/02/2015 18:00	23.075	27.175	419	688	0.00474535071966655
04/02/2015 18:01	23.075	27.15	419	690.25	0.00474095189694268
04/02/2015 18:02	23.1	27.1	419	691	0.00473937073052061
04/02/2015 18:03	23.1	27.1666666666667	419	683.5	0.00475111875560951
04/02/2015 18:04	23.05	27.15	419	687.5	0.0047337317970825
04/02/2015 18:04	23	27.125	419	686	0.00471494214590473
04/02/2015 18:06	23	27.125	418.5	680.5	0.00471494214590473
04/02/2015 18:07	23	27.2	0	681.5	0.00472807794966877
04/02/2015 18:08	22.945	27.29	0	685	0.00472795137178073
04/02/2015 18:08	22.945	27.39	0	685	0.0047454083970941
04/02/2015 18:10	22.89	27.39	0	689	0.00472950615591001
04/02/2015 18:10	22.89	27.39	0	689.5	0.00472950615591001
04/02/2015 18:11	22.89	27.39	0	689	0.00472950615591001
04/02/2015 18:13	22.89	27.445	0	691	0.00473907551474663
04/02/2015 18:14	22.89	27.5	0	688	0.00474864516581148
04/02/2015 18:15	22.89	27.5	0	689.5	0.00474864516581148
04/02/2015 18:16	22.79	27.445	0	689	0.00471022404680625
04/02/2015 18:16	22.79	27.5	0	685.666666666667	0.00471973499914952
04/02/2015 18:17	22.79	27.5	0	687	0.00471973499914952
04/02/2015 18:19	22.79	27.5	0	688	0.00471973499914952
04/02/2015 18:20	22.745	27.5	0	670	0.0047067761580489
04/02/2015 18:21	22.7	27.4633333333333	0	668.666666666667	0.00468754308384392
04/02/2015 18:22	22.7	27.5	0	670	0.00469384871410812
04/02/2015 18:23	22.7	27.5	0	667	0.00469384871410812
04/02/2015 18:23	22.6666666666667	27.4266666666667	0	664.5	0.00467170776461751
04/02/2015 18:24	22.7	27.6	0	670	0.00471104653252311
04/02/2015 18:26	22.6	27.4266666666667	0	670.333333333333	0.00465269945869772
04/02/2015 18:27	22.6	27.39	0	672	0.0046464328065348
04/02/2015 18:28	22.6	27.3566666666667	0	658	0.00464073595878431
04/02/2015 18:29	22.6	27.445	0	660.5	0.00465583283178072
04/02/2015 18:29	22.6	27.4266666666667	0	658	0.00465269945869772
04/02/2015 18:30	22.6	27.445	0	655	0.00465583283178072
04/02/2015 18:32	22.6	27.445	0	654.25	0.00465583283178072
04/02/2015 18:33	22.6	27.39	0	648	0.0046464328065348
04/02/2015 18:34	22.5	27.3233333333333	0	648.666666666667	0.00460676320297832
04/02/2015 18:35	22.5	27.445	0	646	0.00462742903214501
04/02/2015 18:36	22.5	27.5	0	646	0.00463677156669758
04/02/2015 18:36	22.5	27.445	0	641.5	0.00462742903214501
04/02/2015 18:38	22.39	27.29	0	639	0.00457021208799111
04/02/2015 18:39	22.5	27.5	0	640	0.00463677156669758
04/02/2015 18:40	22.39	27.34	0	630.5	0.00457864714513976
04/02/2015 18:40	22.39	27.3566666666667	0	629.333333333333	0.0045814588813251
04/02/2015 18:42	22.39	27.5	0	632	0.00460564085426059
04/02/2015 18:42	22.39	27.5	0	636.5	0.00460564085426059
04/02/2015 18:43	22.39	27.5	0	627.5	0.00460564085426059
04/02/2015 18:45	22.39	27.39	0	626	0.0045870824294015
04/02/2015 18:46	22.39	27.5	0	625.5	0.00460564085426059
04/02/2015 18:47	22.34	27.39	0	623.5	0.00457305034947982
04/02/2015 18:48	22.39	27.4633333333333	0	624.666666666667	0.00459945459049356
04/02/2015 18:49	22.39	27.39	0	622	0.0045870824294015
04/02/2015 18:49	22.29	27.39	0	621	0.00455905614852278
04/02/2015 18:51	22.34	27.39	0	626.5	0.00457305034947982
04/02/2015 18:52	22.29	27.39	0	622	0.00455905614852278
04/02/2015 18:53	22.39	27.39	0	620	0.0045870824294015
04/02/2015 18:53	22.29	27.39	0	621.5	0.00455905614852278
04/02/2015 18:55	22.29	27.3566666666667	0	616.333333333333	0.00455346720904263
04/02/2015 18:55	22.29	27.34	0	609	0.00455067277669262
04/02/2015 18:56	22.29	27.39	0	614	0.00455905614852278
04/02/2015 18:58	22.29	27.34	0	613.5	0.00455067277669262
04/02/2015 18:59	22.29	27.34	0	611	0.00455067277669262
04/02/2015 19:00	22.29	27.39	0	612	0.00455905614852278
04/02/2015 19:01	22.29	27.29	0	608	0.00454228962919881
04/02/2015 19:01	22.29	27.29	0	605.5	0.00454228962919881
04/02/2015 19:02	22.2675	27.315	0	608.5	0.00454021358023024
04/02/2015 19:04	22.2	27.29	0	608.5	0.00451728819349999
04/02/2015 19:05	22.245	27.29	0	602.5	0.00452977369585959
04/02/2015 19:06	22.2	27.29	0	598	0.00451728819349999
04/02/2015 19:07	22.2	27.29	0	595	0.00451728819349999
04/02/2015 19:08	22.2	27.29	0	591	0.00451728819349999
04/02/2015 19:08	22.245	27.245	0	591	0.00452224999364749
04/02/2015 19:09	22.2	27.2	0	595	0.00450228274276464
04/02/2015 19:11	22.2	27.29	0	594.333333333333	0.00451728819349999
04/02/2015 19:12	22.2	27.29	0	593.5	0.00451728819349999
04/02/2015 19:13	22.2	27.29	0	592	0.00451728819349999
04/02/2015 19:14	22.15	27.245	0	586.5	0.0044959713579516
04/02/2015 19:14	22.2	27.2	0	586	0.00450228274276464
04/02/2015 19:15	22.15	27.245	0	586	0.0044959713579516
04/02/2015 19:17	22.2	27.245	0	584.5	0.00450978537828394
04/02/2015 19:18	22.1	27.245	0	584.5	0.00448219467655486
04/02/2015 19:19	22.1	27.2	0	585.5	0.00447473826972372
04/02/2015 19:20	22.1333333333333	27.2	0	584.666666666667	0.00448390319821458
04/02/2015 19:21	22.2	27.2	0	577	0.00450228274276464
04/02/2015 19:21	22.1	27.2	0	580	0.00447473826972372
04/02/2015 19:23	22.125	27.2	0	582	0.00448161041517148
04/02/2015 19:24	22.2	27.2	0	580	0.00450228274276464
04/02/2015 19:25	22.1	27.15	0	578	0.00446645358141236
04/02/2015 19:25	22.1	27.2	0	576.5	0.00447473826972372
04/02/2015 19:27	22.1	27.2	0	580	0.00447473826972372
04/02/2015 19:27	22.1	27.2	0	572.5	0.00447473826972372
04/02/2015 19:28	22.1	27.2	0	567	0.00447473826972372
04/02/2015 19:30	22.1	27.2	0	568	0.00447473826972372
04/02/2015 19:31	22.1	27.2	0	574.5	0.00447473826972372
04/02/2015 19:32	22.1	27.2	0	564.333333333333	0.00447473826972372
04/02/2015 19:33	22.1	27.2	0	563	0.00447473826972372
04/02/2015 19:34	22.1	27.15	0	564.5	0.00446645358141236
04/02/2015 19:34	22.0666666666667	27.1666666666667	0	566.333333333333	0.00446007809167045
04/02/2015 19:36	22.1	27.1	0	562	0.00445816911221647
04/02/2015 19:37	22	27.1	0	565.5	0.00443087555124918
04/02/2015 19:38	22	27.1	0	570	0.00443087555124918
04/02/2015 19:38	22.05	27.15	0	562	0.00445276274636235
04/02/2015 19:40	22	27.1	0	560	0.00443087555124918
04/02/2015 19:40	22	27.1	0	558	0.00443087555124918
04/02/2015 19:41	22	27.1	0	556	0.00443087555124918
04/02/2015 19:43	22	27.1	0	557	0.00443087555124918
04/02/2015 19:44	21.9175	27.1	0	556.5	0.00440846943162748
04/02/2015 19:45	21.945	27.1	0	557.5	0.00441592700761485
04/02/2015 19:46	21.9266666666667	27.1	0	555	0.00441095405497767
04/02/2015 19:46	21.89	27.1	0	555	0.00440102296708593
04/02/2015 19:47	21.89	27.1	0	553	0.00440102296708593
04/02/2015 19:49	21.89	27.1	0	549.5	0.00440102296708593
